Property	total	de	en	es	fr	it	nl	pl	pt	ru	sv	uk
http://xmlns.com/foaf/0.1/name	127202	2173	50740	5787	3843	54788	331	1302	7140	1096	-	2
http://dbpedia.org/ontology/personName	114944	-	9571	-	105311	-	-	-	-	-	-	62
http://dbpedia.org/ontology/synonym	83383	-	5071	6979	-	-	-	3589	-	-	67706	38
http://dbpedia.org/ontology/populationTotal	79882	302	7465	5907	69	366	19925	12102	4817	14954	112	13863
http://dbpedia.org/ontology/nrhpReferenceNumber	59889	-	59889	-	-	-	-	-	-	-	-	-
http://dbpedia.org/ontology/postalCode	51850	2012	3317	8568	21234	4672	80	5128	305	6496	7	31
http://dbpedia.org/ontology/functionStartYear	47770	-	-	-	47770	-	-	-	-	-	-	-
http://dbpedia.org/ontology/genre	47689	509	19980	3785	6987	18	155	3265	5182	7633	175	-
http://dbpedia.org/ontology/startOccupation	39539	-	-	-	39539	-	-	-	-	-	-	-
http://dbpedia.org/ontology/birthDate	37740	278	34376	4	1232	35	480	1284	1	46	4	-
http://dbpedia.org/ontology/height	37584	879	29445	383	171	2240	300	3026	1139	1	-	-
http://dbpedia.org/ontology/birthPlace	36323	206	27430	1952	782	141	335	1007	919	3329	217	5
http://dbpedia.org/ontology/Person/height	34636	731	26925	349	162	2227	281	2855	1106	-	-	-
http://dbpedia.org/ontology/position	30497	47	4985	145	25013	46	120	86	16	39	-	-
http://dbpedia.org/ontology/budget	23036	-	14677	2709	100	-	577	745	2117	750	345	1016
http://dbpedia.org/ontology/gross	22699	-	18294	-	-	-	-	-	2510	1865	-	30
http://dbpedia.org/ontology/functionEndYear	22265	-	-	-	22246	-	-	-	-	-	-	19
http://dbpedia.org/ontology/binomialAuthority	20887	-	13053	2769	-	36	-	3831	1198	-	-	-
http://dbpedia.org/ontology/releaseDate	20866	753	14695	78	2674	2	490	1070	12	1069	8	15
http://dbpedia.org/ontology/currentMember	20620	-	20600	-	-	-	-	-	19	-	1	-
