Property	total	de	en	es	fr	it	nl	pl	pt	ru	sv	uk
http://dbpedia.org/ontology/country	3783595	58959	753688	301245	350022	75159	481502	26476	56298	218032	1364456	97758
http://dbpedia.org/ontology/birthPlace	2524650	669150	844650	187163	238101	91066	82945	105842	104222	168861	32056	594
http://dbpedia.org/ontology/team	2087339	1062	1934364	44670	41572	-	5299	2374	36215	21667	116	-
http://dbpedia.org/ontology/location	1866931	64065	312576	27484	18899	25210	62768	29958	52239	18308	1249501	5923
http://dbpedia.org/ontology/family	1809336	-	173595	167662	4270	37959	909822	47888	98517	11300	358297	26
http://dbpedia.org/ontology/careerStation	1455530	-	1451446	-	-	2303	-	-	-	-	1779	2
http://dbpedia.org/ontology/mouthCountry	1257696	-	-	-	-	-	-	-	-	-	1257696	-
http://dbpedia.org/ontology/genus	1225221	-	128760	123028	-	22535	837843	30896	74675	7484	-	-
http://dbpedia.org/ontology/order	1188736	-	157671	170939	-	40665	655562	51152	101146	11601	-	-
http://dbpedia.org/ontology/deathPlace	966973	327200	245835	44779	79507	64554	19941	54278	35720	69230	16124	9805
http://xmlns.com/foaf/0.1/homepage	913915	94433	368283	63183	103666	15174	73921	71428	38931	71421	3748	9727
http://dbpedia.org/ontology/position	776537	52442	295238	52449	149353	109501	23537	45261	4466	44290	-	-
http://dbpedia.org/ontology/genre	775836	38877	216427	80390	133750	30539	54147	45844	76712	85992	13158	-
http://dbpedia.org/ontology/type	734608	39690	431173	92845	44054	488	22077	9846	28914	65521	-	-
http://dbpedia.org/ontology/region	611811	63896	25341	107306	112434	1271	86508	-	51794	73347	50092	39822
http://dbpedia.org/ontology/occupation	592937	-	283374	56876	130005	853	30865	33730	35156	22035	43	-
http://www.w3.org/2002/07/owl#sameAs	550656	548404	-	-	2252	-	-	-	-	-	-	-
http://dbpedia.org/ontology/nationality	548977	12034	149450	105506	204735	15344	16613	3596	31985	7862	1198	654
http://dbpedia.org/ontology/class	531132	6659	193530	171824	-	-	1303	51682	93082	13052	-	-
http://dbpedia.org/ontology/kingdom	509901	-	175808	172923	-	42173	41	15459	103314	183	-	-
