Property	total	de	en	es	fr	it	nl	pl	pt	ru	sv	uk
http://xmlns.com/foaf/0.1/name	11440093	1308646	3262295	978992	1046640	1134672	243293	582553	577985	1018279	1266638	20100
http://dbpedia.org/ontology/scientificName	2194043	50669	-	-	-	-	810847	-	-	-	1330527	2000
http://dbpedia.org/ontology/birthDate	2015117	643915	885211	96	241180	8797	115985	118579	145	251	958	-
http://dbpedia.org/ontology/populationTotal	1815500	18333	310209	174930	97538	219365	237147	83976	122839	161377	171010	218776
http://dbpedia.org/ontology/utcOffset	1565504	-	324319	-	-	-	-	-	494	-	1232891	7800
http://dbpedia.org/ontology/name	1377361	926	1365	2920	1218	-	1314721	10882	-	45329	-	-
http://dbpedia.org/ontology/years	1326199	-	1286817	-	-	674	24554	-	-	185	12623	1346
http://dbpedia.org/ontology/municipalityType	1273856	-	-	-	-	-	7018	-	-	-	1266838	-
http://dbpedia.org/ontology/postalCode	1171064	151889	211078	111240	96986	22393	115204	113158	64946	161582	54029	68559
http://dbpedia.org/ontology/numberOfGoals	931005	-	927701	-	2297	-	-	-	-	-	1007	-
http://dbpedia.org/ontology/numberOfMatches	907828	-	904176	-	3652	-	-	-	-	-	-	-
http://dbpedia.org/ontology/deathDate	860778	355585	305069	82	88567	7311	38469	65143	66	486	-	-
http://dbpedia.org/ontology/title	799203	7147	315336	69526	155802	1104	73049	48020	13974	115245	-	-
http://dbpedia.org/ontology/activeYearsStartYear	798341	47206	352908	20500	184387	27366	50530	23084	38767	40361	6703	6529
http://dbpedia.org/ontology/runtime	737612	13188	204825	65191	285521	83787	22531	8025	31686	22858	-	-
http://dbpedia.org/ontology/birthYear	727876	29	227639	4251	3648	386393	20684	-	-	2140	22792	60300
http://dbpedia.org/ontology/areaCode	643458	100097	134383	99317	30741	30963	51582	21335	20544	114514	9126	30856
http://dbpedia.org/ontology/individualisedGnd	585430	537057	366	-	900	-	-	-	-	-	-	47107
http://dbpedia.org/ontology/activeYearsEndYear	569598	45067	223797	5873	158342	8121	31532	9326	26974	20430	2049	38087
http://dbpedia.org/ontology/viafId	552703	548404	1656	-	2001	-	642	-	-	-	-	-
