	af	als	am	an	ar	arz	ast	az	azb	ba	bar	batsmg	be	bg	bn	bpy	br	bs	bug	ca	cdo	ce	ceb	ckb	cs	cv	cy	da	de	el	eml	en	eo	es	et	eu	fa	fi	fo	fr	fy	ga	gd	gl	gu	he	hi	hr	hsb	ht	hu	hy	ia	id	ilo	io	is	it	ja	jv	ka	kk	kn	ko	ku	ky	la	lb	li	lmo	lt	lv	mai	mg	mhr	min	mk	ml	mn	mr	mrj	ms	my	mzn	nan	nap	nds	ne	new	nl	nn	no	oc	or	os	pa	pl	pms	pnb	pt	qu	ro	ru	sa	sah	scn	sco	sd	sh	si	simple	sk	sl	sq	sr	su	sv	sw	ta	te	tg	th	tl	tr	tt	uk	ur	uz	vec	vi	vo	wa	war	wuu	xmf	yi	yo	yue	zh
2020.04.01	891,787 	208,495 	35,120 	444,154 	7,303,466 	240,452 	918,031 	1,117,980 	5,380,529 	610,690 	271,073 	46,759 	1,859,776 	2,134,980 	1,470,077 	288,232 	171,683 	1,414,407 	3,910 	5,530,474 	48,282 	3,414,679 	96,497,863 	251,514 	5,944,368 	421,320 	1,106,661 	2,397,305 	31,467,826 	1,175,958 	44,870 	95,541,902 	2,648,630 	22,488,051 	719,563 	2,231,955 	10,541,711 	4,974,155 	58,978 	32,285,309 	149,346 	202,675 	63,915 	1,552,261 	433,240 	2,012,875 	1,205,487 	1,703,943 	129,122 	265,205 	5,922,311 	3,218,349 	5,902 	6,262,796 	145,809 	132,007 	247,030 	33,140,199 	14,967,933 	567,194 	1,611,532 	3,204,284 	202,158 	5,637,168 	94,949 	659,555 	341,393 	257,423 	13,028 	502,503 	1,847,263 	1,360,123 	207,379 	360,813 	188,675 	1,875,939 	1,220,507 	802,863 	214,514 	445,083 	619 	4,691,653 	569,300 	100,292 	4,069,272 	25,868 	153,510 	338,271 	303,922 	23,379,265 	1,302,265 	3,743,056 	1,608,170 	197,270 	109,935 	399,980 	18,412,341 	647,557 	213,660 	14,411,109 	70,720 	6,624,109 	24,264,999 	59,601 	51,547 	33,521 	895,171 	66,546 	5,336,102 	142,634 	1,484,654 	2,809,239 	1,816,410 	639,756 	10,000,749 	532,628 	57,179,363 	184,804 	1,192,466 	1,153,056 	1,527,781 	2,054,856 	443,709 	4,952,900 	755,887 	16,586,434 	2,809,967 	2,498,871 	202,074 	16,835,944 	544,201 	201 	13,271,861 	8,102 	104,761 	40,105 	129,634 	285,283 	11,693,036 
2020.05.01	898,042 	208,375 	35,225 	448,934 	7,343,781 	719,519 	894,297 	1,126,921 	5,383,928 	612,188 	271,222 	46,767 	1,868,247 	2,132,441 	1,508,055 	288,244 	171,774 	1,419,786 	3,922 	5,462,143 	48,275 	3,415,737 	96,496,924 	253,351 	5,993,737 	423,741 	1,363,812 	2,407,057 	31,699,450 	1,187,384 	45,555 	96,148,036 	2,668,451 	22,639,177 	730,381 	2,229,222 	10,617,096 	5,003,042 	58,982 	32,603,141 	150,825 	203,896 	63,948 	1,566,978 	433,653 	2,035,811 	1,195,721 	1,714,231 	129,169 	265,506 	5,949,244 	3,236,251 	5,902 	6,325,359 	151,954 	133,679 	250,459 	33,320,366 	15,091,995 	568,003 	1,615,936 	3,207,183 	203,401 	5,702,579 	97,734 	660,127 	304,770 	258,924 	13,057 	502,675 	1,852,282 	1,369,645 	208,031 	360,872 	188,831 	1,876,135 	1,229,711 	811,238 	215,190 	447,677 	619 	4,723,599 	571,035 	100,406 	5,365,825 	26,993 	153,668 	339,244 	303,923 	23,444,805 	1,308,386 	3,760,259 	1,608,605 	198,046 	110,168 	401,233 	18,542,266 	647,581 	213,949 	14,475,020 	70,748 	6,632,913 	24,424,915 	59,752 	51,641 	33,526 	896,707 	70,792 	5,339,555 	143,260 	1,514,782 	2,812,535 	1,823,718 	643,844 	10,023,854 	534,390 	57,071,353 	185,069 	1,201,087 	1,155,787 	1,528,670 	2,078,594 	446,567 	5,023,129 	757,386 	16,668,473 	2,826,176 	2,505,983 	206,478 	16,908,687 	544,196 	222 	13,272,879 	8,103 	106,411 	40,160 	130,231 	295,280 	11,776,936 
2020.06.01	904,913 	207,984 	35,225 	452,392 	7,332,772 	811,549 	889,747 	1,138,261 	5,387,482 	613,325 	272,015 	46,767 	1,881,505 	2,138,822 	1,544,438 	288,262 	171,976 	1,444,592 	3,923 	5,434,444 	48,275 	3,417,060 	96,496,099 	255,384 	6,029,050 	424,643 	1,367,329 	2,419,243 	31,924,595 	1,196,271 	46,724 	96,686,565 	2,685,746 	22,755,937 	739,324 	2,281,917 	10,737,771 	5,034,043 	58,993 	32,910,615 	152,634 	205,297 	63,990 	1,579,654 	433,876 	2,068,077 	1,209,683 	1,721,593 	129,200 	265,767 	5,973,325 	3,251,763 	5,940 	6,387,908 	152,474 	134,462 	251,951 	33,629,757 	15,216,193 	568,524 	1,621,756 	3,210,949 	204,424 	5,746,089 	101,387 	660,911 	306,290 	260,713 	13,065 	502,688 	1,857,042 	1,377,129 	208,176 	360,893 	188,948 	1,876,616 	1,240,062 	815,673 	219,331 	452,846 	619 	4,748,921 	571,935 	100,446 	5,366,106 	26,987 	153,762 	340,317 	303,969 	23,499,424 	1,313,898 	3,772,024 	1,611,572 	198,742 	111,529 	402,138 	18,638,059 	647,706 	215,282 	14,543,221 	70,760 	6,631,759 	24,591,511 	59,824 	51,744 	33,545 	901,352 	73,344 	5,342,716 	143,618 	1,543,618 	2,814,687 	1,829,607 	648,162 	10,059,903 	535,250 	57,118,391 	184,869 	1,205,942 	1,158,273 	1,529,548 	2,107,618 	448,838 	5,080,017 	758,829 	16,765,649 	2,829,732 	2,509,043 	556,199 	16,967,113 	544,191 	222 	13,272,971 	8,115 	106,626 	40,358 	132,650 	305,255 	11,857,867 
2020.07.01	909,343 	207,530 	35,241 	454,301 	7,347,344 	821,299 	886,301 	1,147,675 	5,389,999 	615,535 	273,572 	46,775 	1,888,704 	2,145,455 	1,570,941 	288,275 	172,362 	1,452,991 	3,923 	5,451,581 	48,272 	3,418,222 	96,495,479 	255,908 	6,045,070 	425,157 	1,368,396 	2,428,333 	32,176,046 	1,203,680 	47,259 	97,262,497 	2,700,949 	22,878,972 	749,469 	2,284,194 	10,823,407 	5,055,956 	59,022 	33,127,882 	154,138 	206,801 	64,046 	1,592,629 	434,670 	2,111,315 	1,219,244 	1,727,827 	129,312 	265,928 	5,998,894 	3,239,008 	6,023 	6,451,166 	152,583 	135,315 	253,756 	33,983,375 	15,318,764 	569,951 	1,622,877 	3,212,351 	204,884 	5,798,503 	114,205 	660,872 	307,916 	263,107 	13,063 	502,853 	1,860,536 	1,384,285 	208,276 	360,908 	188,974 	1,878,181 	1,244,505 	820,430 	222,321 	456,909 	619 	4,764,103 	573,028 	100,427 	5,366,759 	26,995 	153,902 	342,215 	303,970 	23,567,179 	1,319,850 	3,784,648 	1,584,075 	199,359 	112,586 	402,794 	18,730,219 	647,795 	218,047 	14,609,704 	70,836 	6,632,534 	24,741,218 	59,799 	53,451 	33,544 	906,908 	73,531 	5,347,576 	143,805 	1,568,333 	2,817,810 	1,834,097 	650,531 	10,082,649 	540,913 	57,115,130 	185,025 	1,209,587 	1,163,474 	1,529,978 	2,137,872 	451,611 	5,128,235 	759,690 	16,837,164 	2,868,981 	2,510,747 	556,394 	17,056,542 	544,191 	225 	13,273,120 	8,115 	106,887 	41,118 	133,667 	309,725 	11,870,200 
2020.08.01	891,346 	207,534 	35,220 	455,725 	7,339,000 	969,723 	883,549 	1,224,184 	5,391,437 	615,553 	273,783 	46,775 	1,893,375 	2,152,730 	1,599,208 	288,320 	172,550 	1,458,918 	3,923 	5,458,398 	48,273 	3,418,517 	96,493,733 	257,089 	6,069,171 	425,538 	1,370,945 	2,436,833 	32,427,471 	1,211,332 	47,743 	97,769,975 	2,711,960 	22,984,715 	754,207 	2,288,094 	10,879,876 	5,078,866 	58,975 	33,300,769 	155,795 	208,367 	64,423 	1,606,894 	434,713 	2,154,050 	1,228,191 	1,737,442 	129,423 	266,832 	6,023,152 	3,211,892 	5,981 	6,506,326 	152,824 	136,136 	255,714 	34,144,303 	15,432,690 	571,918 	1,625,002 	3,212,114 	206,818 	5,856,552 	115,448 	659,464 	309,128 	265,292 	13,062 	503,356 	1,862,261 	1,387,951 	208,610 	360,981 	188,970 	1,878,483 	1,297,610 	826,446 	223,794 	461,316 	619 	4,778,794 	578,431 	100,410 	5,366,807 	27,005 	154,912 	345,135 	303,970 	23,605,736 	1,329,266 	3,796,455 	1,585,746 	200,162 	112,766 	404,596 	18,774,400 	647,842 	218,902 	14,678,299 	70,929 	6,639,324 	24,871,086 	59,854 	53,528 	33,554 	910,403 	73,609 	5,350,687 	143,976 	1,589,454 	2,823,460 	1,838,203 	652,474 	10,098,041 	545,665 	56,634,089 	185,185 	1,214,494 	1,166,852 	1,530,679 	2,151,484 	455,131 	5,170,571 	760,552 	16,896,213 	2,881,736 	2,513,472 	556,464 	17,166,313 	544,193 	238 	13,274,089 	8,399 	107,572 	41,311 	134,514 	317,021 	11,941,833 
2020.09.01	896,796 	207,576 	35,267 	457,148 	7,543,653 	1,013,765 	871,762 	1,234,693 	5,426,093 	618,024 	273,835 	46,776 	1,899,265 	2,162,539 	1,642,402 	288,343 	172,715 	1,471,549 	3,806 	5,460,848 	48,315 	3,420,338 	96,492,809 	262,146 	6,106,657 	426,239 	1,363,744 	2,449,562 	32,638,425 	1,225,846 	48,133 	99,184,480 	2,725,126 	23,148,400 	758,278 	2,292,861 	10,969,597 	5,121,090 	59,914 	33,497,950 	157,040 	206,553 	64,595 	1,623,823 	435,722 	2,179,069 	1,248,806 	1,741,039 	129,443 	267,091 	6,094,190 	3,206,555 	6,043 	6,638,777 	154,969 	136,766 	259,248 	34,321,285 	15,573,576 	576,468 	1,636,693 	3,217,714 	209,264 	5,935,561 	119,274 	659,883 	310,442 	265,577 	13,063 	510,498 	1,848,799 	1,404,301 	209,843 	361,140 	188,967 	1,879,610 	1,304,470 	845,523 	225,203 	496,170 	619 	4,820,784 	584,889 	100,403 	5,370,319 	27,007 	155,618 	350,797 	304,325 	23,696,917 	1,339,575 	3,817,656 	1,587,775 	202,363 	113,123 	411,475 	18,843,982 	647,848 	222,151 	14,774,332 	72,589 	6,659,311 	25,040,498 	60,286 	53,867 	33,556 	935,071 	74,701 	5,362,627 	145,863 	1,626,676 	2,832,399 	1,850,056 	655,921 	10,119,443 	546,993 	56,669,336 	185,708 	1,228,695 	1,177,023 	1,536,414 	2,183,243 	469,256 	5,233,452 	761,996 	17,001,648 	2,905,063 	2,525,430 	556,605 	17,286,684 	544,191 	242 	13,275,667 	8,524 	108,911 	41,607 	136,281 	329,557 	12,148,970 
2020.10.01	900,060 	208,100 	35,303 	458,983 	7,559,895 	1,025,699 	866,735 	1,257,956 	5,426,511 	625,599 	273,989 	46,774 	1,902,035 	2,169,902 	1,672,802 	288,334 	172,769 	1,476,546 	3,806 	5,473,234 	48,311 	3,423,325 	96,041,929 	271,135 	6,132,453 	428,439 	1,356,227 	2,457,001 	32,835,896 	1,236,578 	48,250 	99,646,921 	2,734,110 	23,280,031 	761,572 	2,294,592 	11,033,378 	5,159,818 	60,029 	33,658,260 	158,346 	204,170 	64,640 	1,632,939 	435,966 	2,214,934 	1,259,543 	1,750,520 	129,794 	267,393 	6,121,327 	3,208,670 	6,036 	6,682,399 	155,102 	137,313 	262,003 	34,543,212 	15,682,328 	578,872 	1,645,390 	3,222,502 	209,714 	6,003,017 	132,928 	659,987 	311,015 	266,202 	13,064 	511,708 	1,829,466 	1,410,806 	210,151 	361,148 	188,968 	1,879,643 	1,311,964 	848,871 	225,605 	515,468 	619 	4,830,705 	594,639 	100,658 	5,371,323 	27,083 	156,066 	352,673 	304,325 	23,738,816 	1,349,482 	3,837,396 	1,590,077 	202,482 	113,137 	411,842 	18,939,331 	647,870 	242,980 	14,813,435 	73,335 	6,665,350 	25,157,522 	60,334 	53,870 	33,587 	919,745 	76,082 	5,366,881 	146,557 	1,647,074 	2,837,746 	1,856,266 	660,043 	10,129,973 	547,456 	56,321,193 	185,862 	1,235,803 	1,177,908 	1,537,014 	2,200,365 	474,463 	5,284,731 	762,530 	17,085,245 	2,914,005 	2,523,457 	602,855 	17,322,421 	544,194 	253 	13,276,304 	8,519 	109,789 	41,712 	136,519 	333,031 	12,557,512 
2020.11.01	905,739 	208,589 	35,305 	462,789 	7,568,550 	1,032,332 	854,119 	1,264,773 	5,427,988 	626,036 	274,071 	46,774 	1,906,062 	2,178,498 	1,704,244 	288,333 	172,804 	1,477,084 	3,806 	5,446,408 	48,311 	3,613,622 	96,192,220 	273,887 	6,162,775 	429,563 	1,356,525 	2,465,862 	33,430,914 	1,246,438 	48,516 	100,101,479 	2,740,915 	23,405,311 	765,860 	2,295,721 	11,114,358 	5,186,174 	60,417 	33,860,860 	158,991 	193,175 	64,671 	1,641,220 	436,232 	2,253,158 	1,273,444 	1,757,547 	129,798 	267,664 	6,144,096 	3,220,971 	6,035 	6,732,325 	153,991 	139,569 	265,777 	34,717,515 	15,800,129 	585,999 	1,666,496 	3,226,449 	210,445 	6,076,174 	146,909 	660,242 	210,920 	267,758 	13,086 	512,024 	1,835,596 	1,419,633 	210,192 	361,149 	188,979 	1,879,903 	1,320,795 	851,249 	225,684 	534,347 	619 	4,841,552 	654,845 	100,777 	5,749,403 	27,093 	156,190 	353,733 	304,333 	23,794,918 	1,346,723 	3,843,684 	1,592,608 	202,488 	114,075 	412,342 	19,045,634 	647,904 	285,136 	14,831,531 	73,241 	6,670,577 	25,258,991 	60,324 	53,908 	33,587 	709,902 	79,428 	5,371,802 	147,079 	1,672,515 	2,840,575 	1,863,244 	662,232 	10,145,295 	547,768 	55,387,280 	186,077 	1,244,236 	1,180,393 	1,537,758 	2,215,167 	464,489 	5,717,195 	759,769 	17,158,899 	2,915,332 	2,526,043 	604,041 	17,362,814 	544,198 	266 	13,276,354 	8,557 	110,779 	41,923 	138,117 	335,267 	12,767,470 
2016.10.01	468,034 	216,226 	28,374 	384,923 	4,574,806 	54,401 	396,941 	783,090 	76,618 	500,495 	189,493 	#N/A	1,036,034 	1,199,637 	676,006 	288,332 	163,070 	1,122,108 	3,347 	5,555,602 	#N/A	2,152,348 	48,599,131 	121,165 	3,548,879 	322,442 	5,867,749 	1,827,256 	14,048,417 	497,522 	#N/A	52,680,100 	1,949,068 	10,858,243 	501,306 	2,046,151 	6,827,708 	3,793,467 	49,934 	16,052,508 	92,720 	82,346 	22,204 	597,617 	406,233 	1,287,037 	483,807 	1,274,118 	100,227 	245,049 	3,844,736 	2,656,711 	1,336 	2,753,663 	#N/A	96,795 	171,320 	20,207,835 	7,763,987 	436,881 	1,236,799 	2,998,440 	169,707 	2,381,531 	78,006 	452,742 	380,646 	172,368 	10,791 	466,872 	1,526,073 	798,881 	#N/A	337,924 	#N/A	1,876,800 	641,011 	488,502 	179,138 	350,279 	570 	3,659,013 	460,584 	94,897 	#N/A	15,388 	94,703 	227,121 	301,297 	8,918,885 	1,064,518 	2,963,579 	1,491,786 	125,963 	85,551 	301,479 	11,769,487 	646,963 	109,731 	7,273,997 	63,524 	6,192,339 	15,382,289 	56,921 	47,697 	27,963 	699,299 	#N/A	5,089,467 	99,711 	1,066,873 	2,370,564 	1,355,265 	428,663 	2,073,767 	101,863 	41,295,969 	151,414 	800,564 	1,118,136 	424,598 	1,321,857 	236,415 	2,991,865 	668,988 	7,691,428 	2,049,931 	2,418,039 	115,968 	14,322,163 	543,842 	150 	13,056,240 	#N/A	#N/A	25,927 	121,362 	#N/A	8,780,136 
