Type	total	de	en	es	fr	it	nl	pl	pt	ru	sv	uk
http://dbpedia.org/ontology/Settlement	209389	33634	63994	-	44499	-	23650	594	6193	-	8457	28368
http://dbpedia.org/ontology/Album	150848	2997	84274	7893	7867	15258	989	11868	8818	7799	1326	1759
http://dbpedia.org/ontology/Town	120555	-	32568	-	-	-	-	87948	-	-	39	-
http://dbpedia.org/ontology/AdministrativeRegion	117142	929	15121	71526	14	-	16	15971	619	7418	3349	2179
http://dbpedia.org/ontology/PopulatedPlace	89092	-	515	-	-	14953	48	-	4485	25205	2274	41612
http://dbpedia.org/ontology/SoccerPlayer	79867	2234	37655	351	11340	15508	2564	3515	1738	2846	1134	982
http://dbpedia.org/ontology/Species	67432	1123	3987	69	-	11036	4562	220	50	6383	40002	-
http://dbpedia.org/ontology/Film	66916	3313	36346	4075	2451	1358	2096	2260	6953	4834	615	2615
http://dbpedia.org/ontology/Person	66497	4026	27881	6573	516	20984	267	856	1975	1119	1681	619
http://dbpedia.org/ontology/Municipality	58028	-	-	4797	-	-	465	-	-	-	8041	44725
http://dbpedia.org/ontology/City	54282	541	15493	-	25358	-	10	925	5650	-	848	5457
http://dbpedia.org/ontology/Village	53694	-	48453	-	-	-	-	9	-	5232	-	-
http://dbpedia.org/ontology/Building	45832	-	41903	991	-	238	111	2290	-	-	153	146
http://dbpedia.org/ontology/Company	42293	10663	16687	11	4593	1888	781	1252	1733	1918	1732	1035
http://dbpedia.org/ontology/CelestialBody	41102	-	-	11897	-	943	130	-	-	-	13208	14924
http://dbpedia.org/ontology/VideoGame	30271	1500	13534	2201	2830	1127	484	1689	1345	3715	1148	698
http://dbpedia.org/ontology/Politician	27170	-	19365	-	1211	3698	1036	759	929	172	-	-
http://dbpedia.org/ontology/HistoricPlace	26759	-	26759	-	-	-	-	-	-	-	-	-
http://dbpedia.org/ontology/River	25618	12136	6578	2	3392	1224	33	966	192	524	23	548
http://dbpedia.org/ontology/Insect	24833	-	20769	974	-	-	2441	-	649	-	-	-
