Type	total	de	en	es	fr	it	nl	pl	pt	ru	sv	uk
http://www.w3.org/2002/07/owl#Thing	2214409	143157	892872	186395	175614	136301	59850	178598	75532	111263	97025	157802
http://schema.org/Place	1043793	70470	355363	98166	93909	21997	28677	120834	22980	48255	43023	140119
http://dbpedia.org/ontology/Location	1043793	70470	355363	98166	93909	21997	28677	120834	22980	48255	43023	140119
http://dbpedia.org/ontology/Place	1034386	68000	355157	98166	92841	21997	28677	120834	22980	48255	38017	139462
http://dbpedia.org/ontology/PopulatedPlace	634697	35943	183472	77017	77737	940	25561	106176	12816	12989	20908	81138
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent	499772	32525	246997	28880	48188	65180	9537	16037	15793	22456	7511	6668
http://www.wikidata.org/entity/Q24229398	499772	32525	246997	28880	48188	65180	9537	16037	15793	22456	7511	6668
http://dbpedia.org/ontology/Agent	499038	32524	246997	28880	48188	65180	9537	16037	15793	22456	6967	6479
http://www.wikidata.org/entity/Q486972	442319	34175	164343	-	70128	-	23953	89476	11843	5232	9344	33825
http://www.wikidata.org/entity/Q5	343467	10203	163357	20536	36213	61045	7114	11650	9452	15574	3963	4360
http://xmlns.com/foaf/0.1/Person	343467	10203	163357	20536	36213	61045	7114	11650	9452	15574	3963	4360
http://schema.org/Person	343467	10203	163357	20536	36213	61045	7114	11650	9452	15574	3963	4360
http://www.wikidata.org/entity/Q215627	343467	10203	163357	20536	36213	61045	7114	11650	9452	15574	3963	4360
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson	343467	10203	163357	20536	36213	61045	7114	11650	9452	15574	3963	4360
http://schema.org/CreativeWork	339850	15953	180178	21213	20286	19349	5030	17917	23082	26719	3875	6248
http://www.wikidata.org/entity/Q386724	339850	15953	180178	21213	20286	19349	5030	17917	23082	26719	3875	6248
http://dbpedia.org/ontology/Work	339556	15953	180178	21213	20284	19349	5030	17917	23082	26719	3742	6089
http://dbpedia.org/ontology/Person	276970	6177	135476	13963	35697	40061	6847	10794	7477	14455	2282	3741
http://dbpedia.org/ontology/Settlement	232930	541	100349	-	25629	-	303	88882	5650	5232	887	5457
http://www.wikidata.org/entity/Q3455524	181683	1062	16067	76490	4234	14	1239	15971	619	7418	11505	47064
