	af	als	am	an	ar	arz	ast	az	azb	ba	bar	batsmg	be	bg	bn	bpy	br	bs	bug	ca	cdo	ce	ceb	ckb	cs	cv	cy	da	de	el	eml	en	eo	es	et	eu	fa	fi	fo	fr	fy	ga	gd	gl	gu	he	hi	hr	hsb	ht	hu	hy	ia	id	ilo	io	is	it	ja	jv	ka	kk	kn	ko	ku	ky	la	lb	li	lmo	lt	lv	mai	mg	mhr	min	mk	ml	mn	mr	mrj	ms	my	mzn	nan	nap	nds	ne	new	nl	nn	no	oc	or	os	pa	pl	pms	pnb	pt	qu	ro	ru	sa	sah	scn	sco	sd	sh	si	simple	sk	sl	sq	sr	su	sv	sw	ta	te	tg	th	tl	tr	tt	uk	ur	uz	vec	vi	vo	wa	war	wuu	xmf	yi	yo	yue	zh
2020.04.01	1	1	1	1	1	1	1	1	1	1.00	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2020.05.01	1.007014007	0.9994244466	1.002989749	1.010762033	1.005519982	2.992360222	0.9741468425	1.00799746	1.000631722	1.00	1.000549667	1.00017109	1.00455485	0.9988107617	1.025834021	1.000041633	1.000530047	1.003803007	1.003069054	0.9876446395	0.9998550184	1.000309839	0.9999902692	1.007303768	1.008305172	1.005746226	1.232366551	1.004067901	1.007360661	1.009716333	1.015266325	1.006344169	1.007483491	1.00672028	1.015034125	0.9987755129	1.007151116	1.005807419	1.000067822	1.009844478	1.009903178	1.006024423	1.000516311	1.009481009	1.000953282	1.011394647	0.9918987098	1.006037761	1.000363997	1.001134971	1.004547718	1.005562479	1	1.009989628	1.042144175	1.012665995	1.013880905	1.005436509	1.008288519	1.00142632	1.002732803	1.000904726	1.006148656	1.011603521	1.029331536	1.000867251	0.8927248069	1.00583087	1.002225975	1.000342287	1.002716993	1.007000837	1.003144002	1.00016352	1.000826819	1.000104481	1.007541128	1.010431419	1.003151309	1.005828126	1	1.006809114	1.003047602	1.001136681	1.318620382	1.043490026	1.001029249	1.002876392	1.00000329	1.002803339	1.004700272	1.004595977	1.000270494	1.003933695	1.002119434	1.003132657	1.007056409	1.000037062	1.001352616	1.004434843	1.000395928	1.001329084	1.006590398	1.002533515	1.001823578	1.00014916	1.001715873	1.063805488	1.000647102	1.004388855	1.020292944	1.001173271	1.004023321	1.006389936	1.002310327	1.003308125	0.9981110318	1.001433952	1.007229556	1.002368489	1.00058189	1.011552148	1.006441159	1.01417937	1.001983101	1.004946151	1.005768395	1.002846085	1.021793996	1.004320696	0.9999908122	1.104477612	1.000076704	1.000123426	1.015750136	1.0013714	1.004605273	1.035042396	1.007175211
2020.06.01	1.014718761	0.9975491019	1.002989749	1.018547621	1.004012615	3.375097733	0.9691905829	1.018140754	1.001292252	1.00	1.003475079	1.00017109	1.011683665	1.001799548	1.050583065	1.000104083	1.001706634	1.021341099	1.003324808	0.982636208	0.9998550184	1.000697284	0.9999817198	1.015386817	1.014245753	1.007887117	1.23554458	1.009151109	1.014515429	1.017273576	1.041319367	1.011980743	1.014013282	1.011912371	1.027462502	1.02238486	1.018598499	1.012039834	1.000254332	1.019368128	1.02201599	1.012936968	1.001173433	1.017647161	1.001468008	1.027424455	1.003480751	1.010358328	1.00060408	1.002119115	1.008613867	1.010382342	1.006438495	1.01997702	1.045710484	1.018597499	1.019920657	1.014772331	1.016586124	1.002344877	1.006344274	1.002080028	1.011209054	1.019321936	1.067804822	1.002055932	0.8971771536	1.012780521	1.002840037	1.000368157	1.005293778	1.012503281	1.003843205	1.000221722	1.001446933	1.000360886	1.01602203	1.0159554	1.022455411	1.017441691	1	1.012206359	1.004628491	1.001535516	1.318689436	1.043258079	1.001641587	1.006048405	1.000154645	1.005139554	1.008932898	1.007739131	1.002115448	1.007461854	1.014499477	1.00539527	1.01225906	1.000230096	1.007591501	1.009167372	1.000565611	1.001154872	1.01345609	1.003741548	1.003821755	1.000715969	1.006904826	1.1021549	1.001239482	1.006898776	1.039715651	1.001939315	1.00726543	1.013139384	1.005914957	1.00492276	0.9989336712	1.000351724	1.011300951	1.004524498	1.001156579	1.025676738	1.011559378	1.025665166	1.003892116	1.010804914	1.00703389	1.004070638	2.752452072	1.00779101	0.9999816244	1.104477612	1.000083636	1.001604542	1.017802426	1.00630844	1.023265501	1.070007677	1.01409651
2020.07.01	1.019686315	0.9953715916	1.00344533	1.02284568	1.006007832	3.415646366	0.965436897	1.026561298	1.00176005	1.01	1.009218919	1.00034218	1.015554561	1.004906369	1.068611372	1.000149185	1.003954964	1.027279277	1.003324808	0.9857348574	0.9997928835	1.001037579	0.9999752948	1.0174702	1.016940741	1.009107092	1.236508741	1.012942867	1.022506162	1.023573971	1.053242701	1.0180088	1.019753231	1.017383498	1.041561337	1.023405042	1.026722038	1.016445205	1.000746041	1.026097721	1.032086564	1.020357716	1.002049597	1.026005936	1.003300711	1.048905173	1.011411985	1.014016901	1.001471477	1.002726193	1.01293127	1.00641913	1.020501525	1.03007762	1.046458038	1.025059277	1.027227462	1.025442696	1.023438841	1.004860771	1.007039885	1.002517567	1.013484502	1.028619867	1.20280361	1.001996801	0.9019399929	1.022080389	1.002686521	1.000696513	1.007185225	1.01776457	1.004325414	1.000263294	1.001584736	1.001195135	1.019662321	1.021880445	1.036393895	1.026570325	1	1.015442319	1.006548393	1.001346069	1.318849907	1.043567342	1.00255358	1.011659291	1.000157935	1.008037635	1.013503396	1.011111776	0.9850171313	1.010589547	1.024114249	1.007035352	1.017264399	1.000367535	1.020532622	1.013780688	1.001640271	1.001271869	1.019625758	1.003322092	1.036937164	1.000686137	1.013111461	1.104964987	1.002150259	1.008209824	1.056362627	1.003051004	1.009737339	1.016842359	1.008189387	1.015554946	0.9988766402	1.001195862	1.014357642	1.009035121	1.001438033	1.040399911	1.017808969	1.035400472	1.005031175	1.015116571	1.02100167	1.004752546	2.753417065	1.0131028	0.9999816244	1.119402985	1.000094862	1.001604542	1.020293812	1.025258696	1.031110665	1.085676328	1.01515124
2020.08.01	0.9995054873	0.9953907768	1.00284738	1.026051775	1.004865361	4.032917173	0.9624391769	1.094996333	1.00202731	1.01	1.009997307	1.00034218	1.018066154	1.008313895	1.087839617	1.00030531	1.005050005	1.031469725	1.003324808	0.9869674824	0.9998135951	1.001123971	0.9999572011	1.022165764	1.020995167	1.010011393	1.238812066	1.016488515	1.030496069	1.030081006	1.064029418	1.023320375	1.023910474	1.022085685	1.048145889	1.025152389	1.032078758	1.021051013	0.9999491336	1.031452696	1.043181605	1.028084372	1.007948056	1.035195756	1.003399963	1.070136	1.018833882	1.019659695	1.002331129	1.006134877	1.017027306	0.9979936918	1.013385293	1.038885188	1.048110885	1.031278644	1.035153625	1.030298671	1.031050179	1.00832872	1.008358506	1.002443604	1.023051277	1.038917414	1.215894849	0.9998620282	0.9054901536	1.030568364	1.002609764	1.001697502	1.008119039	1.020459914	1.005935992	1.000465615	1.001563535	1.001356121	1.063172927	1.029373629	1.04326058	1.036471849	1	1.018573624	1.016038995	1.001176564	1.318861703	1.04395392	1.009132956	1.020291423	1.000157935	1.009686831	1.020733875	1.01426615	0.9860562005	1.014660111	1.02575158	1.011540577	1.019663931	1.000440116	1.024534307	1.018540558	1.002955317	1.002296913	1.024977829	1.004244895	1.038430947	1.000984458	1.017015743	1.106137108	1.002733269	1.009408696	1.070588838	1.005062225	1.011997842	1.019879454	1.009728471	1.024476745	0.9904637972	1.002061644	1.018472644	1.011964727	1.001896869	1.04702422	1.025742097	1.043948192	1.006171557	1.018676649	1.025540869	1.005843039	2.753763473	1.019622838	0.9999852995	1.184079602	1.000167874	1.036657615	1.026832504	1.030071063	1.037644445	1.111250933	1.021277365
2020.09.01	1.005616812	0.9955922204	1.004185649	1.029255619	1.032886714	4.216080548	0.9495997412	1.104396322	1.008468312	1.01	1.010189137	1.000363566	1.021233202	1.012908318	1.117221751	1.000385106	1.006011079	1.04039997	0.9734015345	0.9874104824	1.000683485	1.001657257	0.9999476258	1.042272001	1.027301304	1.011675211	1.232305105	1.021798228	1.037199869	1.042423284	1.072721195	1.03812545	1.028881346	1.029364439	1.053803489	1.027288185	1.040589806	1.029539691	1.015870325	1.037560148	1.051517952	1.019134082	1.01063913	1.046101783	1.005728926	1.082565485	1.035934855	1.021770681	1.002486021	1.00711148	1.029022285	0.9963353881	1.023890207	1.060034049	1.062821911	1.036051119	1.04945958	1.035639074	1.040462701	1.016350667	1.015613094	1.004191264	1.035150724	1.052933139	1.256190165	1.000497305	0.9093390901	1.031675491	1.002686521	1.015910353	1.0008315	1.032480886	1.011881627	1.000906287	1.001547635	1.001956887	1.068793542	1.053134844	1.049828916	1.114780839	1	1.027523562	1.027382751	1.001106768	1.319724757	1.044031236	1.013732004	1.037029482	1.001325998	1.013586911	1.028650083	1.019930239	0.9873178831	1.025817408	1.028998954	1.028738937	1.023443027	1.000449381	1.03974071	1.025204375	1.026428167	1.005314224	1.031959573	1.011493096	1.045007469	1.001044122	1.04457249	1.12254681	1.004970857	1.022638361	1.095659999	1.008244226	1.018523351	1.025267446	1.011868511	1.026970043	0.9910802259	1.004891669	1.030381579	1.020785634	1.005650679	1.062479804	1.057576024	1.056643986	1.008081896	1.02503335	1.03384239	1.0106284	2.754461237	1.026772482	0.9999816244	1.2039801	1.000286772	1.052085905	1.039613978	1.037451689	1.051275128	1.155193264	1.038991926
2020.10.01	1.009276879	0.9981054702	1.005210706	1.033387068	1.03511059	4.265712076	0.9441238912	1.125204386	1.008546	1.02	1.01075725	1.000320794	1.022722629	1.016357062	1.13790094	1.000353882	1.006325612	1.043932899	0.9734015345	0.9896500734	1.000600638	1.00253201	0.9952751907	1.078011562	1.031640874	1.016896895	1.225512601	1.024901295	1.043475199	1.05154946	1.075328727	1.04296564	1.032273288	1.035217814	1.058381268	1.028063738	1.046640152	1.037325536	1.017820204	1.042525565	1.060262746	1.007376341	1.01134319	1.051974507	1.006292124	1.100383283	1.044841628	1.027334835	1.00520438	1.008250222	1.033604449	0.9969925574	1.022704168	1.066999308	1.063734063	1.040194838	1.060612071	1.042335684	1.047728367	1.020589075	1.021009822	1.005685514	1.037376705	1.064899432	1.399993681	1.000654987	0.9110175077	1.034103402	1.002763279	1.018318299	0.9903657465	1.037263542	1.013366831	1.000928459	1.001552935	1.001974478	1.074933614	1.05730492	1.051702919	1.158139044	1	1.029638168	1.044509046	1.003649344	1.319971484	1.046969228	1.016650381	1.042575332	1.001325998	1.015379055	1.036257597	1.025204004	0.9887493238	1.026420642	1.029126302	1.029656483	1.028621564	1.000483355	1.137227371	1.027917768	1.03697681	1.006225894	1.036782322	1.012298451	1.045065668	1.001968915	1.027451738	1.143299372	1.005768068	1.027503961	1.109399227	1.010147588	1.021942183	1.031710527	1.012921432	1.027839317	0.9849916131	1.005724984	1.036342336	1.02155316	1.006043405	1.070812261	1.069311193	1.066997315	1.008788351	1.030073432	1.037024634	1.009838843	2.983337787	1.028895142	0.9999871371	1.258706468	1.000334768	1.051468773	1.04799496	1.040069817	1.053111067	1.167370646	1.073930842
2020.11.01	1.015644991	1.00045085	1.005267654	1.041956168	1.036295644	4.293297623	0.9303814359	1.131301991	1.008820508	1.03	1.011059751	1.000320794	1.024887943	1.020383329	1.159288935	1.000350412	1.006529476	1.044313271	0.9734015345	0.9847994946	1.000600638	1.058261113	0.9968326449	1.088953299	1.036741837	1.019564701	1.225781879	1.028597529	1.062383973	1.059934113	1.081256965	1.047723322	1.034842541	1.040788773	1.06434044	1.028569572	1.054322017	1.042624124	1.024398928	1.048800865	1.064581576	0.9531269273	1.011828209	1.057309306	1.006906103	1.119373036	1.056373067	1.031458799	1.005235359	1.009272073	1.037449063	1.000814703	1.022534734	1.074971147	1.056114506	1.057284841	1.075889568	1.047595248	1.055598592	1.033154441	1.034106676	1.006917302	1.040992689	1.077877047	1.547241151	1.001041611	0.6178216894	1.040147928	1.00445195	1.018947151	0.9936841695	1.043753396	1.013564536	1.00093123	1.001611236	1.002113075	1.082169131	1.06026682	1.052071193	1.200555851	1	1.031950146	1.150263481	1.004835879	1.412882452	1.047355806	1.017458146	1.045708914	1.001352321	1.017778703	1.034138981	1.026883915	0.9903231624	1.026451057	1.037658616	1.030906545	1.034395029	1.00053586	1.334531499	1.029173466	1.035647624	1.007014981	1.040964024	1.012130669	1.04580286	1.001968915	0.7930350737	1.19358038	1.006690277	1.031163678	1.126535206	1.011154622	1.025783826	1.035132144	1.014453517	1.028425092	0.9686585701	1.006888379	1.043414236	1.023708302	1.006530386	1.078015686	1.046832496	1.154312625	1.005135688	1.034514049	1.037496882	1.010873711	2.989206924	1.031294355	0.9999944873	1.323383085	1.000338536	1.056158973	1.057445042	1.045331006	1.06543808	1.175208477	1.091886658
2016.10.01	0.5248271168	1.037080026	0.8079157175	0.8666431013	0.6263883477	0.2262447391	0.4323830023	0.7004508131	0.01423986378	0.82	0.699047858	#N/A	0.5570746154	0.5618961302	0.4598439401	1.000346943	0.9498319577	0.7933416619	0.8560102302	1.004543553	#N/A	0.630322206	0.5036290907	0.481742567	0.5970153597	0.7653137758	5.302209981	0.7622125679	0.4464374819	0.4230780351	#N/A	0.5513821569	0.7358777934	0.4828450007	0.6966811801	0.9167528019	0.6476849916	0.7626354627	0.8466546848	0.4972078167	0.6208401966	0.4062957938	0.3473988891	0.3849977549	0.9376627274	0.6394023474	0.4013373848	0.7477468436	0.7762193894	0.9239984163	0.6491952213	0.8254887832	0.2263639444	0.4396858847	#N/A	0.7332565697	0.6935190058	0.6097680645	0.5187080274	0.7702496853	0.7674678505	0.9357597516	0.8394770427	0.4224694031	0.8215568358	0.6864355512	1.114978925	0.6695905183	0.8282929076	0.9290929606	0.8261265451	0.5873593785	#N/A	0.936562707	#N/A	1.00045897	0.5252005929	0.6084500095	0.8350876866	0.786997032	0.9208400646	0.7798984708	0.8090356578	0.9462070753	#N/A	0.594866244	0.6169174647	0.6714172956	0.9913629155	0.3814869715	0.8174357754	0.7917538503	0.9276295417	0.6385309474	0.7781962068	0.7537351868	0.6392173054	0.9990827062	0.5135776467	0.5047492875	0.8982466063	0.9348184035	0.6339291009	0.9550343115	0.9253108813	0.8341934906	0.7811904094	#N/A	0.9537799315	0.6990689457	0.7186004281	0.8438456109	0.7461228467	0.6700413908	0.2073611686	0.1912460479	0.7222180667	0.8193220926	0.671351636	0.969715261	0.2779181048	0.6432844929	0.5328154263	0.6040632761	0.8850370492	0.4637179999	0.7295213787	0.9676525919	0.5738887734	0.8506896317	0.9993403173	0.7462686567	0.9837535218	#N/A	#N/A	0.6464779953	0.9361895799	#N/A	0.7508859119
